mTitle,mNative,myNickname,myDirector,mActors,mType,mTime,mCountry,mPoint,mComments,mImage
控方证人,Witness for the Prosecution,雄才伟略  /  情妇, 比利·怀尔德 Billy Wilder, 泰隆·鲍华 Tyrone Power / 玛琳·,剧情 犯罪 悬疑 惊悚,1957,美国,9.6,比利·怀德满分作品。,http://10.65.10.100/movie/1_files/p2911817201.webp
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng,喜剧 爱情 奇幻 古装,1995,中国香港 中国大陆,9.2,一生所爱。,http://10.65.10.100/movie/1_files/p2455050536.webp
熔炉,도가니,无声呐喊(港)  /  漩涡, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /,剧情,2011,韩国,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,http://10.65.10.100/movie/1_files/p1363250216.webp
教父,The Godfather,Mario Puzo's The Godfather, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M,剧情 犯罪,1972,美国,9.3,千万不要记恨你的对手，这样会让你失去理智。,http://10.65.10.100/movie/1_files/p616779645.webp
触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台), 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano主...                            2011/法国/剧情 喜剧,无主演,剧情 喜剧,2011,法国,9.3,满满温情的高雅喜剧。,http://10.65.10.100/movie/1_files/p1454261925.webp
寻梦环游记,Coco,玩转极乐园(港)  /  可可夜总会(台), 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina, ,喜剧 动画 奇幻 音乐,2017,美国,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,http://10.65.10.100/movie/1_files/p2505426431.webp
当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ,剧情 传记 家庭,2006,美国,9.2,平民励志片。 ,http://10.65.10.100/movie/1_files/p2614359276.webp
肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台), 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /,犯罪 剧情,1994,美国,9.7,希望让人自由。,http://10.65.10.100/movie/1_files/p480747492.webp
霸王别姬,再见，我的妾  ,再见，我的妾  /  Farewell My Concubine, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha,剧情 爱情 同性,1993,中国大陆 中国香港,9.6,风华绝代。,http://10.65.10.100/movie/1_files/p2561716440.webp
阿甘正传,Forrest Gump,福雷斯特·冈普, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ,剧情 爱情,1994,美国,9.5,一部美国近现代史。,http://10.65.10.100/movie/1_files/p2372307693.webp
泰坦尼克号,Titanic,铁达尼号(港 / 台), 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo,剧情 爱情 灾难,1997,美国 墨西哥,9.5,失去的才是永恒的。 ,http://10.65.10.100/movie/1_files/p457760035.webp
千与千寻,千と千尋の神隠し,神隐少女(台)  /  千与千寻的神隐, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy,剧情 动画 奇幻,2001,日本,9.4,最好的宫崎骏，最好的久石让。 ,http://10.65.10.100/movie/1_files/p2557573348.webp
美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni,剧情 喜剧 爱情 战争,1997,意大利,9.5,最美的谎言。,http://10.65.10.100/movie/1_files/p2578474613.webp
这个杀手不太冷,Léon,终极追杀令(台)  /  杀手莱昂, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ,剧情 动作 犯罪,1994,法国 美国,9.4,怪蜀黍和小萝莉不得不说的故事。,http://10.65.10.100/movie/1_files/p2913554676.webp
星际穿越,Interstellar,星际启示录(港)  /  星际效应(台), 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc,剧情 科幻 冒险,2014,美国 英国 加拿大,9.4,爱是一种力量，让我们超越时空感知它的存在。,http://10.65.10.100/movie/1_files/p2614988097.webp
盗梦空间,Inception,潜行凶间(港)  /  全面启动(台), 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le,剧情 科幻 悬疑 冒险,2010,美国 英国,9.4,诺兰给了我们一场无法盗取的梦。,http://10.65.10.100/movie/1_files/p513344864.webp
楚门的世界,The Truman Show,真人Show(港)  /  真人戏, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau,剧情 科幻,1998,美国,9.4,如果再也不能见到你，祝你早安，午安，晚安。,http://10.65.10.100/movie/1_files/p479682972.webp
辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson,剧情 历史 战争,1993,美国,9.5,拯救一个人，就是拯救整个世界。,http://10.65.10.100/movie/1_files/p492406163.webp
忠犬八公的故事,Hachi: A Dog's Tale,秋田犬八千(港)  /  忠犬小八(台), 莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger,剧情,2009,美国 英国,9.4,永远都不能忘记你所爱的人。,http://10.65.10.100/movie/1_files/p2587099240.webp
海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ,剧情 音乐,1998,意大利,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,http://10.65.10.100/movie/1_files/p2914698334.webp
三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港), 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡,剧情 喜剧 爱情 歌舞,2009,印度,9.2,英俊版憨豆，高情商版谢耳朵。,http://10.65.10.100/movie/1_files/p579729551.webp
放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩, 克里斯托夫·巴拉蒂 Christophe Barratier, 让-巴蒂斯特·莫尼,剧情 音乐,2004,法国 瑞士 德国,9.3,天籁一般的童声，是最接近上帝的存在。 ,http://10.65.10.100/movie/1_files/p2884280708.webp
机器人总动员,WALL·E,太空奇兵·威E(港)  /  瓦力(台), 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽,科幻 动画 冒险,2008,美国,9.3,小瓦力，大人生。,http://10.65.10.100/movie/1_files/p1461851991.webp
疯狂动物城,Zootopia,优兽大都会(港)  /  动物方城市(台), 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·,喜剧 动画 冒险,2016,美国,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,http://10.65.10.100/movie/1_files/p2315672647.webp
无间道,無間道,Infernal Affairs  /  Mou gaan dou, 刘伟强 / 麦兆辉, 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W,剧情 犯罪 惊悚,2002,中国香港,9.3,香港电影史上永不过时的杰作。,http://10.65.10.100/movie/1_files/p2564556863.webp
控方证人,Witness for the Prosecution,雄才伟略  /  情妇, 比利·怀尔德 Billy Wilder, 泰隆·鲍华 Tyrone Power / 玛琳·,剧情 犯罪 悬疑 惊悚,1957,美国,9.6,比利·怀德满分作品。,http://10.65.10.100/movie/1_files/p2911817201.webp
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng,喜剧 爱情 奇幻 古装,1995,中国香港 中国大陆,9.2,一生所爱。,http://10.65.10.100/movie/1_files/p2455050536.webp
熔炉,도가니,无声呐喊(港)  /  漩涡, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /,剧情,2011,韩国,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,http://10.65.10.100/movie/1_files/p1363250216.webp
教父,The Godfather,Mario Puzo's The Godfather, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M,剧情 犯罪,1972,美国,9.3,千万不要记恨你的对手，这样会让你失去理智。,http://10.65.10.100/movie/1_files/p616779645.webp
触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台), 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano主...                            2011/法国/剧情 喜剧,无主演,剧情 喜剧,2011,法国,9.3,满满温情的高雅喜剧。,http://10.65.10.100/movie/1_files/p1454261925.webp
寻梦环游记,Coco,玩转极乐园(港)  /  可可夜总会(台), 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina, ,喜剧 动画 奇幻 音乐,2017,美国,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,http://10.65.10.100/movie/1_files/p2505426431.webp
当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ,剧情 传记 家庭,2006,美国,9.2,平民励志片。 ,http://10.65.10.100/movie/1_files/p2614359276.webp
肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台), 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /,犯罪 剧情,1994,美国,9.7,希望让人自由。,http://10.65.10.100/movie/1_files/p480747492.webp
霸王别姬,再见，我的妾  ,再见，我的妾  /  Farewell My Concubine, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha,剧情 爱情 同性,1993,中国大陆 中国香港,9.6,风华绝代。,http://10.65.10.100/movie/1_files/p2561716440.webp
阿甘正传,Forrest Gump,福雷斯特·冈普, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ,剧情 爱情,1994,美国,9.5,一部美国近现代史。,http://10.65.10.100/movie/1_files/p2372307693.webp
泰坦尼克号,Titanic,铁达尼号(港 / 台), 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo,剧情 爱情 灾难,1997,美国 墨西哥,9.5,失去的才是永恒的。 ,http://10.65.10.100/movie/1_files/p457760035.webp
千与千寻,千と千尋の神隠し,神隐少女(台)  /  千与千寻的神隐, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy,剧情 动画 奇幻,2001,日本,9.4,最好的宫崎骏，最好的久石让。 ,http://10.65.10.100/movie/1_files/p2557573348.webp
美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni,剧情 喜剧 爱情 战争,1997,意大利,9.5,最美的谎言。,http://10.65.10.100/movie/1_files/p2578474613.webp
这个杀手不太冷,Léon,终极追杀令(台)  /  杀手莱昂, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ,剧情 动作 犯罪,1994,法国 美国,9.4,怪蜀黍和小萝莉不得不说的故事。,http://10.65.10.100/movie/1_files/p2913554676.webp
星际穿越,Interstellar,星际启示录(港)  /  星际效应(台), 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc,剧情 科幻 冒险,2014,美国 英国 加拿大,9.4,爱是一种力量，让我们超越时空感知它的存在。,http://10.65.10.100/movie/1_files/p2614988097.webp
盗梦空间,Inception,潜行凶间(港)  /  全面启动(台), 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le,剧情 科幻 悬疑 冒险,2010,美国 英国,9.4,诺兰给了我们一场无法盗取的梦。,http://10.65.10.100/movie/1_files/p513344864.webp
楚门的世界,The Truman Show,真人Show(港)  /  真人戏, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau,剧情 科幻,1998,美国,9.4,如果再也不能见到你，祝你早安，午安，晚安。,http://10.65.10.100/movie/1_files/p479682972.webp
辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson,剧情 历史 战争,1993,美国,9.5,拯救一个人，就是拯救整个世界。,http://10.65.10.100/movie/1_files/p492406163.webp
忠犬八公的故事,Hachi: A Dog's Tale,秋田犬八千(港)  /  忠犬小八(台), 莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger,剧情,2009,美国 英国,9.4,永远都不能忘记你所爱的人。,http://10.65.10.100/movie/1_files/p2587099240.webp
海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ,剧情 音乐,1998,意大利,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,http://10.65.10.100/movie/1_files/p2914698334.webp
三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港), 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡,剧情 喜剧 爱情 歌舞,2009,印度,9.2,英俊版憨豆，高情商版谢耳朵。,http://10.65.10.100/movie/1_files/p579729551.webp
放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩, 克里斯托夫·巴拉蒂 Christophe Barratier, 让-巴蒂斯特·莫尼,剧情 音乐,2004,法国 瑞士 德国,9.3,天籁一般的童声，是最接近上帝的存在。 ,http://10.65.10.100/movie/1_files/p2884280708.webp
机器人总动员,WALL·E,太空奇兵·威E(港)  /  瓦力(台), 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽,科幻 动画 冒险,2008,美国,9.3,小瓦力，大人生。,http://10.65.10.100/movie/1_files/p1461851991.webp
疯狂动物城,Zootopia,优兽大都会(港)  /  动物方城市(台), 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·,喜剧 动画 冒险,2016,美国,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,http://10.65.10.100/movie/1_files/p2315672647.webp
无间道,無間道,Infernal Affairs  /  Mou gaan dou, 刘伟强 / 麦兆辉, 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W,剧情 犯罪 惊悚,2002,中国香港,9.3,香港电影史上永不过时的杰作。,http://10.65.10.100/movie/1_files/p2564556863.webp
控方证人,Witness for the Prosecution,雄才伟略  /  情妇, 比利·怀尔德 Billy Wilder, 泰隆·鲍华 Tyrone Power / 玛琳·,剧情 犯罪 悬疑 惊悚,1957,美国,9.6,比利·怀德满分作品。,http://10.65.10.100/movie/1_files/p2911817201.webp
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng,喜剧 爱情 奇幻 古装,1995,中国香港 中国大陆,9.2,一生所爱。,http://10.65.10.100/movie/1_files/p2455050536.webp
熔炉,도가니,无声呐喊(港)  /  漩涡, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /,剧情,2011,韩国,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,http://10.65.10.100/movie/1_files/p1363250216.webp
教父,The Godfather,Mario Puzo's The Godfather, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M,剧情 犯罪,1972,美国,9.3,千万不要记恨你的对手，这样会让你失去理智。,http://10.65.10.100/movie/1_files/p616779645.webp
触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台), 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano主...                            2011/法国/剧情 喜剧,无主演,剧情 喜剧,2011,法国,9.3,满满温情的高雅喜剧。,http://10.65.10.100/movie/1_files/p1454261925.webp
寻梦环游记,Coco,玩转极乐园(港)  /  可可夜总会(台), 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina, ,喜剧 动画 奇幻 音乐,2017,美国,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,http://10.65.10.100/movie/1_files/p2505426431.webp
当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ,剧情 传记 家庭,2006,美国,9.2,平民励志片。 ,http://10.65.10.100/movie/1_files/p2614359276.webp
肖申克的救赎,The Shawshank Redemption,月黑高飞(港)  /  刺激1995(台), 弗兰克·德拉邦特 Frank Darabont, 蒂姆·罗宾斯 Tim Robbins /,犯罪 剧情,1994,美国,9.7,希望让人自由。,http://10.65.10.100/movie/1_files/p480747492.webp
霸王别姬,再见，我的妾  ,再见，我的妾  /  Farewell My Concubine, 陈凯歌 Kaige Chen, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha,剧情 爱情 同性,1993,中国大陆 中国香港,9.6,风华绝代。,http://10.65.10.100/movie/1_files/p2561716440.webp
阿甘正传,Forrest Gump,福雷斯特·冈普, 罗伯特·泽米吉斯 Robert Zemeckis, 汤姆·汉克斯 Tom Hanks / ,剧情 爱情,1994,美国,9.5,一部美国近现代史。,http://10.65.10.100/movie/1_files/p2372307693.webp
泰坦尼克号,Titanic,铁达尼号(港 / 台), 詹姆斯·卡梅隆 James Cameron, 莱昂纳多·迪卡普里奥 Leonardo,剧情 爱情 灾难,1997,美国 墨西哥,9.5,失去的才是永恒的。 ,http://10.65.10.100/movie/1_files/p457760035.webp
千与千寻,千と千尋の神隠し,神隐少女(台)  /  千与千寻的神隐, 宫崎骏 Hayao Miyazaki, 柊瑠美 Rumi Hîragi / 入野自由 Miy,剧情 动画 奇幻,2001,日本,9.4,最好的宫崎骏，最好的久石让。 ,http://10.65.10.100/movie/1_files/p2557573348.webp
美丽人生,La vita è bella,一个快乐的传说(港)  /  Life Is Beautiful, 罗伯托·贝尼尼 Roberto Benigni, 罗伯托·贝尼尼 Roberto Beni,剧情 喜剧 爱情 战争,1997,意大利,9.5,最美的谎言。,http://10.65.10.100/movie/1_files/p2578474613.webp
这个杀手不太冷,Léon,终极追杀令(台)  /  杀手莱昂, 吕克·贝松 Luc Besson, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ,剧情 动作 犯罪,1994,法国 美国,9.4,怪蜀黍和小萝莉不得不说的故事。,http://10.65.10.100/movie/1_files/p2913554676.webp
星际穿越,Interstellar,星际启示录(港)  /  星际效应(台), 克里斯托弗·诺兰 Christopher Nolan, 马修·麦康纳 Matthew Mc,剧情 科幻 冒险,2014,美国 英国 加拿大,9.4,爱是一种力量，让我们超越时空感知它的存在。,http://10.65.10.100/movie/1_files/p2614988097.webp
盗梦空间,Inception,潜行凶间(港)  /  全面启动(台), 克里斯托弗·诺兰 Christopher Nolan, 莱昂纳多·迪卡普里奥 Le,剧情 科幻 悬疑 冒险,2010,美国 英国,9.4,诺兰给了我们一场无法盗取的梦。,http://10.65.10.100/movie/1_files/p513344864.webp
楚门的世界,The Truman Show,真人Show(港)  /  真人戏, 彼得·威尔 Peter Weir, 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau,剧情 科幻,1998,美国,9.4,如果再也不能见到你，祝你早安，午安，晚安。,http://10.65.10.100/movie/1_files/p479682972.webp
辛德勒的名单,Schindler's List,舒特拉的名单(港)  /  辛德勒名单, 史蒂文·斯皮尔伯格 Steven Spielberg, 连姆·尼森 Liam Neeson,剧情 历史 战争,1993,美国,9.5,拯救一个人，就是拯救整个世界。,http://10.65.10.100/movie/1_files/p492406163.webp
忠犬八公的故事,Hachi: A Dog's Tale,秋田犬八千(港)  /  忠犬小八(台), 莱塞·霍尔斯道姆 Lasse Hallström, 理查·基尔 Richard Ger,剧情,2009,美国 英国,9.4,永远都不能忘记你所爱的人。,http://10.65.10.100/movie/1_files/p2587099240.webp
海上钢琴师,La leggenda del pianista sull'oceano,声光伴我飞(港)  /  一九零零的传奇, 朱塞佩·托纳多雷 Giuseppe Tornatore, 蒂姆·罗斯 Tim Roth / ,剧情 音乐,1998,意大利,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,http://10.65.10.100/movie/1_files/p2914698334.webp
三傻大闹宝莱坞,3 Idiots,三个傻瓜(台)  /  作死不离3兄弟(港), 拉库马·希拉尼 Rajkumar Hirani, 阿米尔·汗 Aamir Khan / 卡,剧情 喜剧 爱情 歌舞,2009,印度,9.2,英俊版憨豆，高情商版谢耳朵。,http://10.65.10.100/movie/1_files/p579729551.webp
放牛班的春天,Les choristes,歌声伴我心(港)  /  唱诗班男孩, 克里斯托夫·巴拉蒂 Christophe Barratier, 让-巴蒂斯特·莫尼,剧情 音乐,2004,法国 瑞士 德国,9.3,天籁一般的童声，是最接近上帝的存在。 ,http://10.65.10.100/movie/1_files/p2884280708.webp
机器人总动员,WALL·E,太空奇兵·威E(港)  /  瓦力(台), 安德鲁·斯坦顿 Andrew Stanton, 本·贝尔特 Ben Burtt / 艾丽,科幻 动画 冒险,2008,美国,9.3,小瓦力，大人生。,http://10.65.10.100/movie/1_files/p1461851991.webp
疯狂动物城,Zootopia,优兽大都会(港)  /  动物方城市(台), 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·,喜剧 动画 冒险,2016,美国,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,http://10.65.10.100/movie/1_files/p2315672647.webp
无间道,無間道,Infernal Affairs  /  Mou gaan dou, 刘伟强 / 麦兆辉, 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W,剧情 犯罪 惊悚,2002,中国香港,9.3,香港电影史上永不过时的杰作。,http://10.65.10.100/movie/1_files/p2564556863.webp
控方证人,Witness for the Prosecution,雄才伟略  /  情妇, 比利·怀尔德 Billy Wilder, 泰隆·鲍华 Tyrone Power / 玛琳·,剧情 犯罪 悬疑 惊悚,1957,美国,9.6,比利·怀德满分作品。,http://10.65.10.100/movie/1_files/p2911817201.webp
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,西游记完结篇仙履奇缘  /  齐天大圣西游记, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng,喜剧 爱情 奇幻 古装,1995,中国香港 中国大陆,9.2,一生所爱。,http://10.65.10.100/movie/1_files/p2455050536.webp
熔炉,도가니,无声呐喊(港)  /  漩涡, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /,剧情,2011,韩国,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,http://10.65.10.100/movie/1_files/p1363250216.webp
教父,The Godfather,Mario Puzo's The Godfather, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M,剧情 犯罪,1972,美国,9.3,千万不要记恨你的对手，这样会让你失去理智。,http://10.65.10.100/movie/1_files/p616779645.webp
触不可及,Intouchables,闪亮人生(港)  /  逆转人生(台), 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano主...                            2011/法国/剧情 喜剧,无主演,剧情 喜剧,2011,法国,9.3,满满温情的高雅喜剧。,http://10.65.10.100/movie/1_files/p1454261925.webp
寻梦环游记,Coco,玩转极乐园(港)  /  可可夜总会(台), 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina, ,喜剧 动画 奇幻 音乐,2017,美国,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,http://10.65.10.100/movie/1_files/p2505426431.webp
当幸福来敲门,The Pursuit of Happyness,寻找快乐的故事(港)  /  追求快乐, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ,剧情 传记 家庭,2006,美国,9.2,平民励志片。 ,http://10.65.10.100/movie/1_files/p2614359276.webp
